FID,OBJECTID,FID_Jornad,ecosite1,ecosite2,ecosite3,Name,Dom1FG,esite1type,esite2type,esite3type,GeneralizedState
59,60,18,Limestone hills,No ecosite, ,Other shrubs,shrub,2,NA,NA,5
60,61,19,Loamy, , ,BOER4,PG,1,NA,NA,1
61,62,19,Loamy, , ,SCBR2,PG,1,NA,NA,2
62,63,19,Loamy, , ,LATR2,shrub,1,NA,NA,4
63,64,19,Loamy, , ,FLCE,shrub,1,NA,NA,4
64,65,19,Loamy, , ,PLMU3,PG,1,NA,NA,1
65,66,22,Sandy, , ,ARIST,PG,1,NA,NA,1
66,67,22,Sandy, , ,BOER4,PG,1,NA,NA,1
67,68,22,Sandy, , ,SCBR2,PG,1,NA,NA,2
68,69,23,Sandy, , ,SCBR2,PG,1,NA,NA,2
69,70,23,Sandy, , ,LATR2,shrub,1,NA,NA,4
70,71,23,Sandy, , ,PRGL2,shrub,1,NA,NA,4
71,72,23,Sandy, , ,FLCE,shrub,1,NA,NA,4
72,73,23,Sandy, , ,PLMU3,PG,1,NA,NA,1
73,74,24,Sandy,Deep sand, ,ARIST,PG,1,2,NA,1
74,75,24,Sandy,Deep sand, ,BOER4,PG,1,2,NA,1
75,76,24,Sandy,Deep sand, ,GUSA2,subshrub,1,2,NA,4
76,77,24,Sandy,Deep sand, ,SCBR2,PG,1,2,NA,2
77,78,24,Sandy,Deep sand, ,LATR2,shrub,1,2,NA,4
78,79,24,Sandy,Deep sand, ,PRGL2,shrub,1,2,NA,4
79,80,24,Sandy,Deep sand, ,Other grasses,PG,1,2,NA,2
80,81,24,Sandy,Deep sand, ,Other shrubs,shrub,1,2,NA,4
81,82,24,Sandy,Deep sand, ,SPORO,PG,1,2,NA,1
82,83,24,Sandy,Deep sand, ,FLCE,shrub,1,2,NA,4
83,84,24,Sandy,Deep sand, ,PLMU3,PG,1,2,NA,2
84,85,25,Sandy,Deep sand,Shallow sandy,ARIST,PG,1,2,1,1
85,86,25,Sandy,Deep sand,Shallow sandy,BOER4,PG,1,2,1,1
86,87,25,Sandy,Deep sand,Shallow sandy,GUSA2,subshrub,1,2,1,4
87,88,25,Sandy,Deep sand,Shallow sandy,PRGL2,shrub,1,2,1,4
88,89,25,Sandy,Deep sand,Shallow sandy,SPORO,PG,1,2,1,1
89,90,25,Sandy,Deep sand,Shallow sandy,FLCE,shrub,1,2,1,4
90,91,25,Sandy,Deep sand,Shallow sandy,PLMU3,PG,1,2,1,2
91,92,26,Sandy,Loamy,Clayey,SCBR2,PG,1,1,1,2
92,93,26,Sandy,Loamy,Clayey,LATR2,shrub,1,1,1,4
93,94,26,Sandy,Loamy,Clayey,Other grasses,PG,1,1,1,2
94,95,26,Sandy,Loamy,Clayey,FLCE,shrub,1,1,1,4
95,96,26,Sandy,Loamy,Clayey,PLMU3,PG,1,1,1,2
96,97,27,Sandy,Loamy,Deep sand,ARIST,PG,1,1,2,1
97,98,27,Sandy,Loamy,Deep sand,Bare,Bare,1,1,2,7
98,99,27,Sandy,Loamy,Deep sand,BOER4,PG,1,1,2,1
99,100,27,Sandy,Loamy,Deep sand,GUSA2,subshrub,1,1,2,4
100,101,27,Sandy,Loamy,Deep sand,SCBR2,PG,1,1,2,2
101,102,27,Sandy,Loamy,Deep sand,LATR2,shrub,1,1,2,4
102,103,27,Sandy,Loamy,Deep sand,PRGL2,shrub,1,1,2,4
103,104,27,Sandy,Loamy,Deep sand,Other grasses,PG,1,1,2,2
104,105,27,Sandy,Loamy,Deep sand,Other shrubs,shrub,1,1,2,4
105,106,27,Sandy,Loamy,Deep sand,SPORO,PG,1,1,2,1
106,107,27,Sandy,Loamy,Deep sand,FLCE,shrub,1,1,2,4
107,108,27,Sandy,Loamy,Deep sand,PLMU3,PG,1,1,2,2
108,109,28,Sandy,Shallow sandy, ,ARIST,PG,1,1,NA,1
109,110,28,Sandy,Shallow sandy, ,BOER4,PG,1,1,NA,1
110,111,28,Sandy,Shallow sandy, ,GUSA2,subshrub,1,1,NA,4
111,112,28,Sandy,Shallow sandy, ,SCBR2,PG,1,1,NA,2
112,113,28,Sandy,Shallow sandy, ,PRGL2,shrub,1,1,NA,4
113,114,28,Sandy,Shallow sandy, ,FLCE,shrub,1,1,NA,4
114,115,28,Sandy,Shallow sandy, ,PLMU3,PG,1,1,NA,2
115,116,30,Shallow sandy,Deep sand, ,PRGL2,shrub,1,2,NA,4
116,117,31,Shallow sandy,Sandy, ,BOER4,PG,1,1,NA,1
117,118,31,Shallow sandy,Sandy, ,GUSA2,subshrub,1,1,NA,4
118,119,31,Shallow sandy,Sandy, ,PRGL2,shrub,1,1,NA,4
