"OBJECTID","VegUnite","ecosite1","GeneralizedStateNumber"
93,"PRGL2,PSSC6,MUPO2","Deep sand",2
95,"PRGL2,PSSC6,MUPO2","Deep sand",2
96,"PRGL2,PSSC6,MUPO2","Deep sand",2
97,"PRGL2,PSSC6,MUPO2","Deep sand",2
109,"PRGL2,SPORO,NA","Draw",2
110,"PRGL2,SPORO,NA","Draw",2
111,"PRGL2,SPORO,NA","Draw",2
112,"PRGL2,SPORO,NA","Draw",2
113,"PRGL2,SPORO,NA","Draw",2
114,"PRGL2,SPORO,NA","Draw",2
116,"LATR2,FLCE,BOER4","Gravelly",5
117,"LATR2,FLCE,BOER4","Gravelly",5
123,"LATR2,FLCE,BOER4","Gravelly",5
124,"LATR2,FLCE,BOER4","Gravelly",5
125,"LATR2,FLCE,BOER4","Gravelly",5
126,"LATR2,FLCE,BOER4","Gravelly",5
127,"LATR2,FLCE,BOER4","Gravelly",5
128,"LATR2,FLCE,BOER4","Gravelly",5
129,"LATR2,FLCE,BOER4","Gravelly",5
131,"LATR2,FLCE,BOER4","Gravelly",5
132,"LATR2,FLCE,BOER4","Gravelly",5
134,"LATR2,FLCE,BOER4","Gravelly",5
138,"LATR2,FLCE,BOER4","Gravelly",5
139,"LATR2,FLCE,BOER4","Gravelly",5
140,"LATR2,FLCE,BOER4","Gravelly",5
157,"FLCE,MUPO2,SCBR2","Loamy",2
163,"PRGL2,FLCE,LATR2","Loamy",4
164,"PRGL2,FLCE,LATR2","Loamy",4
165,"PRGL2,GUSA2,BOER4","Sandy",1
166,"PRGL2,GUSA2,BOER4","Sandy",1
167,"PRGL2,GUSA2,BOER4","Sandy",1
168,"PRGL2,GUSA2,BOER4","Sandy",1
169,"LATR2,SPFL2,MUPO2","Sandy",2
170,"LATR2,SPFL2,MUPO2","Sandy",2
171,"LATR2,SPFL2,MUPO2","Sandy",2
172,"LATR2,SPFL2,MUPO2","Sandy",2
173,"ARPU9,EPHEDRA,PRGL2","Sandy",2
175,"BOER4,SPORO,MUPO2","Sandy",1
176,"BOER4,SPORO,MUPO2","Sandy",1
180,"ERLE,MUPO2,YUEL","Sandy",4
186,"LATR2,SPFL2,MUPO2","Sandy",2
187,"LATR2,SPFL2,MUPO2","Sandy",2
188,"LATR2,SPFL2,MUPO2","Sandy",2
196,"PRGL2,GUSA2,BOER4","Sandy",1
197,"PRGL2,GUSA2,BOER4","Sandy",1
198,"PRGL2,GUSA2,BOER4","Sandy",1
