"Source","Site","SiteName","StateNumber","StateName","GeneralizedStateNumber","GeneralizedStateName","VegUnite","DomSp1","DomSp2","DomSp3","Subdom1","Subdom2","ID","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"Repeated from Sandy","R042XB012NM","Shallow Sandy",1,"BlackGramaGrassland",1,"Grassland","BOER4","BOER4",NA,NA,NA,NA,17,"PG","PG",NA,NA
"Repeated from Sandy","R042XB012NM","Shallow Sandy",4,"MesquiteInvaded",4,"ShrubInvadedGrassland","BOER4,PRGL2","BOER4","PRGL2",NA,NA,NA,18,"PG,shrub","PG","shrub",NA
"Repeated from Sandy","R042XB012NM","Shallow Sandy",5,"Shrubland",6,"Shrubland","PRGL2,MUPO2,ARIST","PRGL2","MUPO2","ARIST",NA,NA,19,"shrub,PG,PG","shrub","PG","PG"
"EDIT","R042XB012NM","Shallow Sandy",2,"BlackGramaLimitedGrassland",2,"AlteredGrassland","ARIST,SPORO,BOER4","ARIST","SPORO","BOER4","DAPU7",NA,20,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB012NM","Shallow Sandy",3,"BunchgrassGrassland",2,"AlteredGrassland","ARIST,SPORO,GUSA2","ARIST","SPORO","GUSA2","DAPU7",NA,21,"PG,PG,subshrub","PG","PG","subshrub"
"EDIT","R042XB018NM","Bottomland",1,"BottomlandGrassland",1,"Grassland","SPAI,SPWR2,PAOB","SPAI","SPWR2","PAOB","BOCU","PLMU3",22,"PG,PG","PG","PG",NA
"EDIT","R042XB018NM","Bottomland",3,"TobosaBurrograssGrassland",2,"AlteredGrassland","PLMU3,SCBR2,SPAI","PLMU3","SCBR2","SPAI","SPWR2",NA,23,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB018NM","Bottomland",2,"Shrub-invadedGrassland",4,"ShrubInvadedGrassland","PRGL2,PLMU3,SCBR2","PRGL2","PLMU3","SCBR2","SPAI","SPWR2",24,"shrub,PG,PG","shrub","PG","PG"
"EDIT","R042XB018NM","Bottomland",4,"MesquiteWoodland",6,"Shrubland","PRGL2 ,PLMU3,SCBR2","PRGL2 ","PLMU3","SCBR2","FLCE","SPORO",25,"PG,PG",NA,"PG","PG"
"EDIT","R042XB018NM","Bottomland",5,"Annuals",9,"ExoticDominated","annuals,SPWR2,PLMU3","annuals","SPWR2","PLMU3","SCBR2",NA,26,"annuals,PG,PG","annuals","PG","PG"
"EDIT","R042XB011NM","Deep Sand",1,"Dropseed-dominatedState",3,"ShrubSavanna","SPAI,SPWR2,BOER4","SPAI","SPWR2","BOER4","MUPO2","ARFI2",27,"PG,PG,PG","PG","PG","PG"
"EDIT","R042XB011NM","Deep Sand",2,"BroomDalea-SandsageState",5,"ShrubDominated","PSSC2,ARFI2,SPORO","PSSC2","ARFI2","SPORO",NA,NA,28,"shrub,PG",NA,"shrub","PG"
