"SiteName","GeneralizedStateNumber","VegUnite"
"Sandy",9,"ERLE,MUPO2,YUEL"
"Shallow sandy",1,"BOER4,ARPU9,YUEL"
"Shallow sandy",1,"BOER4,NA,NA"
"Shallow sandy",1,"BOER4,PRGL2,PG"
"Shallow sandy",2,"BOER4,PRGL2,NA"
"Shallow sandy",2,"SPFL2,GUSA2,PRGL2"
"Shallow sandy",4,"BOER4,PRGL2,GUSA2"
"Shallow sandy",4,"BOER4,PRGL2,SPFL2"
"Shallow sandy",4,"PG,PRGL2,NA"
"Shallow sandy",4,"PRGL2,BOER4,DAPU7"
"Shallow sandy",4,"PRGL2,MUPO2,DAPU7"
"Shallow sandy",4,"PRGL2,SPFL2,PF"
"Shallow sandy",4,"SPFL2,PRGL2,ATCA2"
"Shallow sandy",4,"SPFL2,PRGL2,NA"
"Shallow sandy",4,"SPFL2,PRGL2,YUEL"
"Tank",1,"NA,     ,NA"
"Bottomland",2,"PLMU3,NA,NA"
"Bottomland",2,"PLMU3,PRGL2,NA"
"Bottomland",4,"PLMU3,FLCE,PRGL2"
"Bottomland",6,"NA,SPORO,NA"
"Bottomland",7,"PRGL2,BOER4,PF"
"Clayey",1,"NA,NA,LACO13"
"Clayey",2,"FLCE,LYBE,SCBR2"
"Clayey",2,"LATR2,MUPO2,PLMU3"
"Clayey",2,"PLMU3,CYIMI,NA"
"Clayey",2,"PLMU3,FLCE,ATCA2"
"Clayey",2,"PLMU3,FLCE,LATR2"
"Clayey",2,"PLMU3,FLCE,PRGL2"
"Clayey",2,"PLMU3,FLCE,SCBR2"
"Clayey",2,"PLMU3,PRGL2,NA"
"Clayey",2,"SCBR2,FLCE,NA"
"Clayey",2,"SCBR2,FLCE,PRGL2"
"Clayey",2,"SCBR2,PLMU3,LYBE"
"Clayey",2,"SCBR2,PLMU3,NA"
"Clayey",4,"SCBR2,FLCE,PLMU3"
"Clayey",4,"SCBR2,PLMU3,PRGL2"
"Clayey",4,"SCBR2,PRGL2,EPHEDRA"
"Clayey",7,"SCBR2,FLCE,PLMU3"
"Clayey",7,"SCBR2,PLMU3,FLCE"
"Deep sand",2,"PRGL2,PSSC6,MUPO2"
"Deep sand",6,"SPFL2,PRGL2,YUEL"
"Drainage",7,"PRGL2,ATCA2,SPORO"
"Draw",4,"PRGL2,SPORO,NA"
"Draw",6,"PLMU3,FLCE,MUAR"
"Gravelly",5,"AG,LATR2,PRGL2"
"Gravelly",5,"LATR2,,NA"
"Gravelly",5,"LATR2,FLCE,MUPO2"
"Gravelly",5,"LATR2,FLCE,NA"
"Gravelly",6,"LATR2,BOER4,PAIN2"
"Gyp upland",4,"SPORO,EPHEDRA,NA"
"Gyp upland",4,"SPORO,EPHEDRA,PRGL2"
"Gyp upland",7,"SPORO,EPHEDRA,NA"
"Limestone hills",5,"NA,NA,OPUNT"
"Loamy",1,"PLMU3,EPHEDRA,NA"
"Loamy",1,"SCBR2,PLMU3,NA"
"Loamy",2,"FLCE,MUPO2,SCBR2"
"Loamy",2,"NA,NA,PRGL2"
"Loamy",2,"PLMU3,CYIMI,PRGL2"
"Loamy",2,"PLMU3,FLCE,ATCA2"
"Loamy",2,"PLMU3,MUAR,FLCE"
"Loamy",2,"PLMU3,PRGL2,NA"
"Loamy",2,"PLMU3,SCBR2,NA"
"Loamy",2,"SPORO,FLCE,PLMU3"
"Loamy",4,"NA,ATR12,NA"
"Loamy",4,"NA,FLCE,NA"
"Loamy",4,"NA,NA,GUSA2"
"Loamy",4,"PLMU3,NA,NA"
"Loamy",4,"SCBR2,FLCE,KOSP"
"Loamy",4,"SCBR2,PRGL2,NA"
"Loamy",6,"FLCE,LATR2,NA"
"Loamy",7,"PLMU3,,NA"
"Loamy",7,"PLMU3,SCBR2,FLCE"
"Loamy",7,"SCBR2,NA,NA"
"Playette",2,"MUPO2,SPFL2,PRGL2"
"Playette",2,"PRGL2,ATCA2,SPFL2"
"Playette",4,"AG,ARPU9,PRGL2"
"Playette",4,"FLCE,LATR2,NA"
"Playette",4,"PRGL2,MUPO2,EPHEDRA"
"Sandy",1,"BOER4,GUSA2,SPFL2"
"Sandy",2,"BOER4,PRGL2,EPHEDRA"
"Sandy",2,"BOER4,PRGL2,SPCO4"
"Sandy",2,"BOER4,PRGL2,SPFL2"
"Sandy",2,"BOER4,PRGL2,SPORO"
"Sandy",2,"BOER4,PRGL2,YUEL"
"Sandy",2,"BOER4,SPFL2,PRGL2"
"Sandy",2,"BOER4,SPFL2,SPCO4"
"Sandy",2,"BOER4,SPFL2,YUEL"
"Sandy",2,"MUPO2,PRGL2,DAPU7"
"Sandy",2,"NA,NA,PRGL2"
"Sandy",2,"PG,PRGL2,NA"
"Sandy",2,"PRGL2,ARPU9,NA"
"Sandy",2,"PRGL2,GUSA2,NA"
"Sandy",2,"PRGL2,MUPO2,GUSA2"
"Sandy",2,"PRGL2,MUPO2,SPFL2"
"Sandy",2,"PRGL2,MUPO2,YUEL"
"Sandy",2,"PRGL2,SPFL2,DAPU7"
"Sandy",2,"PRGL2,SPFL2,PF"
"Sandy",2,"PRGL2,SPFL2,SELE6"
"Sandy",2,"PRGL2,SPFL2,YUEL"
"Sandy",2,"SPFL2,ATCA2,PRGL2"
"Sandy",2,"SPFL2,PRGL2,BOER4"
"Sandy",2,"SPFL2,PRGL2,MUPO2"
"Sandy",4,"AG,SPFL2,PRGL2"
"Sandy",4,"annuals,YUEL,PRGL2"
"Sandy",4,"ARPU9,EPHEDRA,PRGL2"
"Sandy",4,"BOER4,PRGL2,NA"
"Sandy",4,"ERLE,MUPO2,YUEL"
"Sandy",4,"LATR2,FLCE,NA"
"Sandy",4,"LATR2,PRGL2,MUPO2"
"Sandy",4,"LATR2,SPFL2,MUPO2"
"Sandy",4,"NA,EPHEDRA,NA"
"Sandy",4,"PRGL2,GUSA2,ATCA2"
"Sandy",4,"PRGL2,GUSA2,BOER4"
"Sandy",4,"PRGL2,GUSA2,SPFL2"
"Sandy",4,"PRGL2,MUPO2,NA"
"Sandy",4,"PRGL2,SPFL2,"
"Sandy",4,"PRGL2,SPORO,NA"
"Sandy",4,"SPFL2,,NA"
"Sandy",4,"SPFL2,ARPU9,NA"
"Sandy",4,"SPFL2,CYIMI,"
"Sandy",4,"SPFL2,GUSA2,PRGL2"
"Sandy",4,"SPFL2,PRGL2,SELE6"
"Sandy",6,"MUPO2,SPFL2,PRGL2"
"Sandy",6,"PRGL2,GUSA2,SPORO"
"Sandy",6,"PRGL2,GUSA2,YUEL"
"Sandy",6,"PRGL2,MUPO2,LATR2"
"Sandy",6,"PRGL2,SPFL2,ATCA2"
"Sandy",6,"PRGL2,SPFL2,YUEL"
"Sandy",6,"SPFL2,PRGL2,MUPO2"
"Shallow sandy",2,"BOER4,ARPU9,YUEL"
"Shallow sandy",2,"BOER4,NA,NA"
"Shallow sandy",2,"BOER4,PRGL2,GUSA2"
"Shallow sandy",2,"BOER4,PRGL2,PG"
"Shallow sandy",2,"BOER4,PRGL2,SPFL2"
"Shallow sandy",2,"PG,PRGL2,NA"
"Shallow sandy",2,"PRGL2,BOER4,DAPU7"
"Shallow sandy",2,"PRGL2,MUPO2,DAPU7"
"Shallow sandy",2,"PRGL2,SPFL2,PF"
"Shallow sandy",2,"SPFL2,PRGL2,ATCA2"
"Shallow sandy",2,"SPFL2,PRGL2,NA"
"Shallow sandy",2,"SPFL2,PRGL2,YUEL"
"Shallow sandy",4,"BOER4,PRGL2,NA"
"Shallow sandy",4,"SPFL2,GUSA2,PRGL2"
"Tank",2,"NA,     ,NA"
"Bottomland",1,"PLMU3,PRGL2,NA"
"Bottomland",4,"PLMU3,NA,NA"
"Bottomland",4,"PRGL2,BOER4,PF"
"Bottomland",7,"NA,SPORO,NA"
"Bottomland",7,"PLMU3,FLCE,PRGL2"
"Clayey",1,"PLMU3,FLCE,LATR2"
"Clayey",1,"PLMU3,FLCE,SCBR2"
"Clayey",1,"SCBR2,PLMU3,PRGL2"
"Clayey",1,"SCBR2,PRGL2,EPHEDRA"
"Clayey",4,"PLMU3,CYIMI,NA"
"Clayey",4,"PLMU3,FLCE,PRGL2"
"Clayey",4,"PLMU3,PRGL2,NA"
"Clayey",4,"SCBR2,FLCE,NA"
"Clayey",4,"SCBR2,PLMU3,NA"
"Clayey",6,"FLCE,LYBE,SCBR2"
"Clayey",6,"LATR2,MUPO2,PLMU3"
"Clayey",7,"NA,NA,LACO13"
"Clayey",7,"PLMU3,FLCE,ATCA2"
