"GeneralizedStateNumber","VegUnite"
1,"BOER4,PRGL2,EPHEDRA"
1,"BOER4,PRGL2,GUSA2"
1,"BOER4,PRGL2,NA"
1,"BOER4,SPFL2,SPCO4"
1,"PLMU3,FLCE,ATCA2"
1,"PLMU3,FLCE,LATR2"
1,"PLMU3,FLCE,SCBR2"
1,"PRGL2,BOER4,DAPU7"
1,"PRGL2,GUSA2,BOER4"
1,"SCBR2,FLCE,KOSP"
1,"SCBR2,PLMU3,PRGL2"
1,"SCBR2,PRGL2,EPHEDRA"
1,"SPFL2,CYIMI,"
1,"SPORO,EPHEDRA,NA"
2,"FLCE,LATR2,NA"
2,"LATR2,SPFL2,MUPO2"
2,"PRGL2,GUSA2,SPORO"
2,"PRGL2,GUSA2,YUEL"
2,"PRGL2,MUPO2,EPHEDRA"
2,"PRGL2,MUPO2,LATR2"
2,"PRGL2,SPFL2,ATCA2"
4,"BOER4,ARPU9,YUEL"
4,"BOER4,GUSA2,SPFL2"
4,"BOER4,NA,NA"
4,"BOER4,PRGL2,PG"
4,"BOER4,PRGL2,SPCO4"
4,"BOER4,PRGL2,YUEL"
4,"BOER4,SPFL2,PRGL2"
4,"BOER4,SPFL2,YUEL"
4,"PLMU3,,NA"
4,"PLMU3,CYIMI,NA"
4,"PLMU3,CYIMI,PRGL2"
4,"PRGL2,BOER4,PF"
4,"PRGL2,GUSA2,NA"
4,"SCBR2,FLCE,NA"
4,"SCBR2,NA,NA"
4,"SCBR2,PLMU3,NA"
6,"AG,ARPU9,PRGL2"
6,"BOER4,PRGL2,SPFL2"
6,"ERLE,MUPO2,YUEL"
6,"FLCE,LYBE,SCBR2"
6,"LATR2,MUPO2,PLMU3"
6,"PLMU3,PRGL2,NA"
6,"PLMU3,SCBR2,FLCE"
6,"PRGL2,ARPU9,NA"
6,"PRGL2,MUPO2,DAPU7"
6,"PRGL2,MUPO2,SPFL2"
6,"PRGL2,MUPO2,YUEL"
6,"PRGL2,PSSC6,MUPO2"
6,"PRGL2,SPFL2,PF"
6,"SPFL2,ARPU9,NA"
6,"SPFL2,ATCA2,PRGL2"
6,"SPFL2,GUSA2,PRGL2"
6,"SPFL2,PRGL2,ATCA2"
6,"SPFL2,PRGL2,BOER4"
6,"SPFL2,PRGL2,NA"
6,"SPFL2,PRGL2,SELE6"
7,"FLCE,MUPO2,SCBR2"
7,"NA,ATR12,NA"
7,"NA,NA,GUSA2"
7,"NA,NA,LACO13"
7,"NA,SPORO,NA"
7,"PLMU3,EPHEDRA,NA"
7,"PLMU3,FLCE,ATCA2"
7,"PLMU3,FLCE,MUAR"
7,"PLMU3,MUAR,FLCE"
7,"PLMU3,NA,NA"
7,"PLMU3,PRGL2,NA"
7,"PLMU3,SCBR2,NA"
7,"PRGL2,SPORO,NA"
7,"SCBR2,FLCE,PRGL2"
7,"SCBR2,PLMU3,LYBE"
7,"SCBR2,PRGL2,NA"
7,"SPORO,EPHEDRA,PRGL2"
7,"SPORO,FLCE,PLMU3"
NA,"NA,     ,NA"
