OBJECTID,FID_JERVeg,VegUnite,ecosite1,ecosite2,ecosite3,StateNumber,StateName,GeneralizedStateNumber,FinalEcosite,GeneralizedStateName
145,67,"PRGL2,GUSA2,",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
151,69,"PRGL2,GUSA2,ATCA2",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
154,71,"PRGL2,GUSA2,EPHspp",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
159,72,"PRGL2,GUSA2,LATR2",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
161,73,"PRGL2,GUSA2,MUPO2",Sandy,NA,NA,3,Bunchgrass/Mesquite,4,Sandy,ShrubInvadedGrassland
167,76,"PRGL2,LATR2,GUSA2",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
170,78,"PRGL2,ATCA2,YUEL",Sandy,NA,NA,4,Shrubland,6,Sandy,Shrubland
171,79,"PSSC6,ARFI2,YUEL",Sandy,NA,NA,5,ShrubDominated,6,Deep sand,Shrubland
172,80,"PSSC6,YUEL,GUSA2",Sandy,NA,NA,5,ShrubDominated,6,Deep sand,Shrubland
188,89,"SCBR2,PLMU3,EPHspp",Sandy,NA,NA,3,Bunchgrass/Mesquite,4,,ShrubInvadedGrassland
192,91,"SCBR2,PLMU3,GUSA2",Sandy,NA,NA,3,Bunchgrass/Mesquite,4,,ShrubInvadedGrassland
199,94,"SCBR2,SPAI,GUSA2",Sandy,NA,NA,3,Bunchgrass/Mesquite,4,,ShrubInvadedGrassland
6,3,"ARIST,BOER4,SPORO",Shallow sandy,Limy,Salt Flats,2,BlackGramaLimitedGrassland,2,Shallow sandy,AlteredGrassland
31,18,"BOER4,YUEL,ARIST",Shallow sandy,No ecosite, ,1,BlackGramaGrassland,1,Shallow sandy,Grassland
67,32,"GUSA2,BOER4,PRGL2",Shallow sandy, , ,4,MesquiteInvaded,4,Shallow sandy,ShrubInvadedGrassland
70,34,"GUSA2,PLMU3,SCBR2",Shallow sandy,Deep sand, ,3,BunchgrassGrassland,2,Shallow sandy,AlteredGrassland
75,36,"GUSA2,PRGL2,ARIST",Shallow sandy,Deep sand, ,4,MesquiteInvaded,4,Shallow sandy,ShrubInvadedGrassland
138,64,"PRGL2,ATCA2,GUSA2",Shallow sandy,NA,NA,5,Shrubland,6,Shallow sandy,Shrubland
142,66,"PRGL2,BOER4,GUSA2",Shallow sandy,NA,NA,4,MesquiteInvaded,4,Shallow sandy,ShrubInvadedGrassland
164,75,"PRGL2,LATR2,FLCE",Shallow sandy,NA,NA,5,Shrubland,6,Shallow sandy,Shrubland
