OBJECTID,VegUnite,GeneralizedStateNumber,ecosite1,ecosite2,ecosite3,FID,Shape..,FID_JERVeg,SUM_Shape_,FID_JER_Ec,SUM_Shape1,Shape_Leng,Shape_Area
110,"LATR2,FLCE,SCBR2",6,Limestone hills,Sandy, ,109,Polygon,51,1473786.837,7,125520706.8,5357.729745,351447.8748
111,"LATR2,GUSA2,ARFI2",6,Sandy,Sandy, ,110,Polygon,52,160021.231,11,368111095.6,2244.516463,160021.231
112,"LATR2,PRGL2,BOER4",5,Gravelly,Sandy, ,111,Polygon,53,22972654.81,5,53527326.23,21889.2006,4126858.974
113,"LATR2,PRGL2,BOER4",6,Rock land,NA,NA,112,Polygon,53,22972654.81,9,738872.7837,5531.584746,382605.837
114,"LATR2,PRGL2,BOER4",4,Sandy,NA,NA,113,Polygon,53,22972654.81,11,368111095.6,2182.570997,99245.697
115,"PLMU3,FLCE,LATR2",1,Bottomland,NA,NA,114,Polygon,54,1126642.986,1,35299777.56,7667.576146,480036.0278
116,"PLMU3,FLCE,LATR2",3,Gravelly,NA,NA,115,Polygon,54,1126642.986,5,53527326.23,5004.147051,368936.36
117,"PLMU3,FLCE,LATR2",1,Loamy,NA,NA,116,Polygon,54,1126642.986,8,15362815.09,222.400939,1032.328286
118,"PLMU3,FLCE,LATR2",4,Sandy,NA,NA,117,Polygon,54,1126642.986,11,368111095.6,4192.790407,276638.2674
119,"PLMU3,SCBR2,",1,Clayey,NA,NA,118,Polygon,55,15054596.24,2,13244532.45,25082.90748,4237429.293
120,"PLMU3,SCBR2,",1,Sandy,NA,NA,119,Polygon,55,15054596.24,11,368111095.6,66627.69816,10817166.95
121,"PLMU3,SCBR2,MUAR",1,Clayey,NA,NA,120,Polygon,56,1867215.958,2,13244532.45,771.578478,28638.94169
122,"PLMU3,SCBR2,MUAR",1,Sandy,NA,NA,121,Polygon,56,1867215.958,11,368111095.6,9702.035659,1838577.017
123,"PLMU3,SCBR2,MUAR",1,Sandy,NA,NA,122,Polygon,57,3803893.032,11,368111095.6,18932.92079,3803893.032
124,"PLMU3,SCBR2,PRGL2",1,Sandy,NA,NA,123,Polygon,58,101167.3718,11,368111095.6,1460.649258,101167.3718
125,"PLMU3,SCBR2,SPAI",1,Sandy,NA,NA,124,Polygon,59,1322888.737,11,368111095.6,7856.070251,1322888.737
126,"PRGL2,ARFI2,EPHspp",4,Sandy,NA,NA,125,Polygon,60,257699.7628,11,368111095.6,2079.109133,257699.7628
127,"PRGL2,ARFI2,GUSA2",5,Deep sand,NA,NA,126,Polygon,61,61970315.92,3,119701060,70053.71627,42492458.8
128,"PRGL2,ARFI2,GUSA2",4,Draw,NA,NA,127,Polygon,61,61970315.92,4,6092080.685,14259.76903,797797.2429
129,"PRGL2,ARFI2,GUSA2",6,Limestone hills,NA,NA,128,Polygon,61,61970315.92,7,125520706.8,10814.26752,634140.4658
130,"PRGL2,ARFI2,GUSA2",4,Sandy,NA,NA,129,Polygon,61,61970315.92,11,368111095.6,44908.97625,18045919.43
131,"PRGL2,ARFI2,MUAR",5,Deep sand,NA,NA,130,Polygon,62,1326217.581,3,119701060,5648.269633,1326217.581
132,"PRGL2,ATCA2,ARFI2",5,Deep sand,NA,NA,131,Polygon,63,13313991.6,3,119701060,19525.07191,5113891.881
133,"PRGL2,ATCA2,ARFI2",4,Draw,NA,NA,132,Polygon,63,13313991.6,4,6092080.685,5626.876304,383790.0542
134,"PRGL2,ATCA2,ARFI2",4,Sandy,NA,NA,133,Polygon,63,13313991.6,11,368111095.6,19234.41408,7816309.724
135,"PRGL2,ATCA2,GUSA2",5,Deep sand,NA,NA,134,Polygon,64,20010026.02,3,119701060,24857.22403,4527890.935
136,"PRGL2,ATCA2,GUSA2",4,Draw,NA,NA,135,Polygon,64,20010026.02,4,6092080.685,8600.893695,398621.2764
137,"PRGL2,ATCA2,GUSA2",4,Sandy,NA,NA,136,Polygon,64,20010026.02,11,368111095.6,50103.5717,15083461.35
138,"PRGL2,ATCA2,GUSA2",4,Shallow sandy,NA,NA,137,Polygon,64,20010026.02,13,25426676.89,31.778777,52.492921
139,"PRGL2,ATCA2,YUEL",5,Deep sand,NA,NA,138,Polygon,65,554129.0121,3,119701060,1371.235163,133220.0114
140,"PRGL2,ATCA2,YUEL",4,Sandy,NA,NA,139,Polygon,65,554129.0121,11,368111095.6,4232.765404,420908.9998
141,"PRGL2,BOER4,GUSA2",4,Sandy,NA,NA,140,Polygon,66,5175464.985,11,368111095.6,17906.21078,2944399.518
142,"PRGL2,BOER4,GUSA2",4,Shallow sandy,NA,NA,141,Polygon,66,5175464.985,13,25426676.89,16559.28247,2231065.471
143,"PRGL2,GUSA2,",6,Clayey,NA,NA,142,Polygon,67,7414817.155,2,13244532.45,659.741944,18894.91591
144,"PRGL2,GUSA2,",5,Deep sand,NA,NA,143,Polygon,67,7414817.155,3,119701060,9869.613453,2379561.969
145,"PRGL2,GUSA2,",4,Sandy,NA,NA,144,Polygon,67,7414817.155,11,368111095.6,18127.72431,5016360.27
146,"PRGL2,GUSA2,ARFI2",5,Deep sand,NA,NA,145,Polygon,68,6043387.71,3,119701060,33675.49029,4855417.244
147,"PRGL2,GUSA2,ARFI2",4,Draw,NA,NA,146,Polygon,68,6043387.71,4,6092080.685,7341.967242,238123.3387
148,"PRGL2,GUSA2,ARFI2",6,Gravelly,NA,NA,147,Polygon,68,6043387.71,5,53527326.23,5953.774267,333146.6838
149,"PRGL2,GUSA2,ARFI2",6,Limestone hills,NA,NA,148,Polygon,68,6043387.71,7,125520706.8,9080.064938,616700.3541
150,"PRGL2,GUSA2,ATCA2",5,Deep sand,NA,NA,149,Polygon,69,22791796.19,3,119701060,343.467416,2358.712611
151,"PRGL2,GUSA2,ATCA2",4,Sandy,NA,NA,150,Polygon,69,22791796.19,11,368111095.6,64490.15174,22789437.48
