"FID","Shape..","OBJECTID","FID_JERVeg","DOM1","DOM2","DOM3","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","Dom1FG","Dom2FG","Dom3FG"
"55","Polygon","56","33","FLCE","SCBR2","PLMU3","17413694.84","2","Clayey","13244532.45","7808.498625","1326304.553","shrub","PG","PG"
"56","Polygon","57","33","FLCE","SCBR2","PLMU3","17413694.84","11","Sandy","368111095.6","61494.85333","16053571.75","shrub","PG","PG"
"57","Polygon","58","34","FLCE","SPAI","SCBR2","2576110.634","11","Sandy","368111095.6","9354.226497","2576110.634","shrub","PG","PG"
"58","Polygon","59","35","GUSA2","BOER4","YUEL","188418.1209","2","Clayey","13244532.45","1322.703785","60268.58035","subshrub","PG","succulent"
"59","Polygon","60","35","GUSA2","BOER4","YUEL","188418.1209","11","Sandy","368111095.6","1451.411924","128149.5404","subshrub","PG","succulent"
"60","Polygon","61","36","GUSA2","PRGL2","YUEL","40364.32574","3","Deep sand","119701060","802.377734","40364.32574","subshrub","shrub","succulent"
"61","Polygon","62","37","GUSA2","SPFL2","PRGL2","107411.9576","11","Sandy","368111095.6","2041.457358","107411.9576","subshrub","PG","shrub"
"62","Polygon","63","38","LATR2"," "," ","814026.9469","3","Deep sand","119701060","11951.71135","750592.4735","shrub",NA,NA
"63","Polygon","64","38","LATR2"," "," ","814026.9469","4","Draw","6092080.685","632.024659","8373.363512","shrub",NA,NA
"64","Polygon","65","38","LATR2"," "," ","814026.9469","7","Limestone hills","125520706.8","211.732748","271.702815","shrub",NA,NA
"65","Polygon","66","38","LATR2"," "," ","814026.9469","11","Sandy","368111095.6","1002.809164","54789.40676","shrub",NA,NA
"66","Polygon","67","39","LATR2","COWA","MUPO2","51968.02194","5","Gravelly","53527326.23","934.258164","51968.02194","shrub","shrub","PG"
"67","Polygon","68","40","LATR2","FLCE"," ","432781.2282","2","Clayey","13244532.45","841.870432","6585.130004","shrub","shrub",NA
"68","Polygon","69","40","LATR2","FLCE"," ","432781.2282","11","Sandy","368111095.6","4869.766306","418710.5628","shrub","shrub",NA
"69","Polygon","70","41","LATR2","FLCE","BOCU","103218.9627","11","Sandy","368111095.6","1544.843056","103218.9627","shrub","shrub","PG"
"70","Polygon","71","42","LATR2","FLCE","MUPO2","4064330.818","2","Clayey","13244532.45","173.728212","1381.208274","shrub","shrub","PG"
"71","Polygon","72","42","LATR2","FLCE","MUPO2","4064330.818","5","Gravelly","53527326.23","9954.683398","3425894.131","shrub","shrub","PG"
"72","Polygon","73","42","LATR2","FLCE","MUPO2","4064330.818","11","Sandy","368111095.6","8945.273597","625546.423","shrub","shrub","PG"
"73","Polygon","74","43","LATR2","FLCE","PLMU3","43342492.31","1","Bottomland","35299777.56","111407.184","15044719.03","shrub","shrub","PG"
"74","Polygon","75","43","LATR2","FLCE","PLMU3","43342492.31","2","Clayey","13244532.45","1101.4144","54841.29733","shrub","shrub","PG"
"75","Polygon","76","43","LATR2","FLCE","PLMU3","43342492.31","3","Deep sand","119701060","22197.18548","660876.1824","shrub","shrub","PG"
"76","Polygon","77","43","LATR2","FLCE","PLMU3","43342492.31","4","Draw","6092080.685","448.686702","7516.370058","shrub","shrub","PG"
"77","Polygon","78","43","LATR2","FLCE","PLMU3","43342492.31","5","Gravelly","53527326.23","11153.74125","148160.6476","shrub","shrub","PG"
"78","Polygon","79","43","LATR2","FLCE","PLMU3","43342492.31","8","Loamy","15362815.09","47335.75442","1050929.871","shrub","shrub","PG"
