FID,OBJECTID,VegUnite,ZST_DOM,ZND_DOM,ZRD_DOM,ecosite1,FGUnite,Dom1FG,Dom2FG,Dom3FG,esite1type,GSC
194,195,"SCBR2,PLMU3,SPAI",SCBR2,PLMU3,SPAI,Bottomland,"PG,PG,PG",PG,PG,PG,1,2
199,200,"SCBR2,SPAI,PLMU3",SCBR2,SPAI,PLMU3,Bottomland,"PG,PG,PG",PG,PG,PG,1,2
84,85,"HIMU,SCBR2,",HIMU,SCBR2,,Clayey,"PG,PG",PG,PG,NA,1,2
172,173,"SCBR2,ARIST,BOER4",SCBR2,ARIST,BOER4,Clayey,"PG,PG,PG",PG,PG,PG,1,2
176,177,"SCBR2,BOER4,MUAR",SCBR2,BOER4,MUAR,Clayey,"PG,PG,PG",PG,PG,PG,1,2
185,186,"SCBR2,PLMU3,BOER4",SCBR2,PLMU3,BOER4,Clayey,"PG,PG,PG",PG,PG,PG,1,2
190,191,"SCBR2,PLMU3,GUSA2",SCBR2,PLMU3,GUSA2,Clayey,"PG,PG,subshrub",PG,PG,subshrub,1,2
192,193,"SCBR2,PLMU3,MUAR",SCBR2,PLMU3,MUAR,Clayey,"PG,PG,PG",PG,PG,PG,1,2
180,181,"SCBR2,PLMU3,",SCBR2,PLMU3,,Draw,"PG,PG",PG,PG,NA,1,2
182,183,"SCBR2,PLMU3,",SCBR2,PLMU3,,Loamy,"PG,PG",PG,PG,NA,1,2
196,197,"SCBR2,PLMU3,SPAI",SCBR2,PLMU3,SPAI,Loamy,"PG,PG,PG",PG,PG,PG,1,2
201,202,"SCBR2,SPAI,PLMU3",SCBR2,SPAI,PLMU3,Loamy,"PG,PG,PG",PG,PG,PG,1,2
85,86,"HIMU,SCBR2,",HIMU,SCBR2,,Sandy,"PG,PG",PG,PG,NA,1,2
119,120,"PLMU3,SCBR2,",PLMU3,SCBR2,,Sandy,"PG,PG",PG,PG,NA,1,2
121,122,"PLMU3,SCBR2,MUAR",PLMU3,SCBR2,MUAR,Sandy,"PG,PG,PG",PG,PG,PG,1,2
122,123,"PLMU3,SCBR2,MUAR",PLMU3,SCBR2,MUAR,Sandy,"PG,PG,PG",PG,PG,PG,1,2
123,124,"PLMU3,SCBR2,PRGL2",PLMU3,SCBR2,PRGL2,Sandy,"PG,PG,shrub",PG,PG,shrub,1,2
124,125,"PLMU3,SCBR2,SPAI",PLMU3,SCBR2,SPAI,Sandy,"PG,PG,PG",PG,PG,PG,1,2
173,174,"SCBR2,ARIST,BOER4",SCBR2,ARIST,BOER4,Sandy,"PG,PG,PG",PG,PG,PG,1,2
174,175,"SCBR2,BOER4,ARIST",SCBR2,BOER4,ARIST,Sandy,"PG,PG,PG",PG,PG,PG,1,2
175,176,"SCBR2,BOER4,FLCE",SCBR2,BOER4,FLCE,Sandy,"PG,PG,shrub",PG,PG,shrub,1,2
177,178,"SCBR2,BOER4,MUAR",SCBR2,BOER4,MUAR,Sandy,"PG,PG,PG",PG,PG,PG,1,2
178,179,"SCBR2,BOER4,SPORO",SCBR2,BOER4,SPORO,Sandy,"PG,PG,PG",PG,PG,PG,1,2
183,184,"SCBR2,PLMU3,",SCBR2,PLMU3,,Sandy,"PG,PG",PG,PG,NA,1,2
