OBJECTID1998,ecosite1,ecosite2,ecosite3,SP1998,FG1998,FG_GSName,FG_GSNum,SPTally,GeneralizedStateNum,GeneralizedStateName,VegUnite,SiteName,Site
419,Shallow sandy,Sandy, ,"PRGL2,BOER4, ","shrub,PG",ShrubInvadedGrassland,4,2,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
420,Shallow sandy,Sandy, ,"PRGL2,BOER4,SPFL2","shrub,PG,PG",ShrubInvadedGrassland,4,2,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
429,Shallow sandy,Sandy, ,"PRGL2,SPFL2, ","shrub,PG",ShrubInvadedGrassland,4,1,4,ShrubInvadedGrassland,"BOER4,PRGL2",Sandy,R042XB012NM
66,Deep sand,Sandy,Shallow sandy,"LATR2,FLCE,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
69,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
70,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
71,Deep sand,Sandy,Shallow sandy,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
73,Deep sand,Sandy,Shallow sandy,"PRGL2, , ",shrub,Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
74,Deep sand,Sandy,Shallow sandy,"PRGL2,ARFI2,ATCA2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
75,Deep sand,Sandy,Shallow sandy,"PRGL2,ARFI2,QUERCUS","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
78,Deep sand,Sandy,Shallow sandy,"PRGL2,FLCE,LATR2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
79,Deep sand,Sandy,Shallow sandy,"PRGL2,LATR2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
80,Deep sand,Sandy,Shallow sandy,"PRGL2,LATR2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
81,Deep sand,Sandy,Shallow sandy,"PRGL2,LATR2,MIACB","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
82,Deep sand,Sandy,Shallow sandy,"PRGL2, , ",shrub,Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
83,Deep sand,Sandy,Shallow sandy,"PRGL2,ATCA2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
166,Sandy, , ,"PRGL2,PLMU3,SPAI","shrub,PG,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
168,Sandy, , ,"PRGL2,ARPU9, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
170,Sandy, , ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
171,Sandy, , ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
174,Sandy,Deep sand, ,"ATCA2,FLCE,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
186,Sandy,Deep sand, ,"LATR2,FLCE,PRGL2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
187,Sandy,Deep sand, ,"LATR2,PRGL2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
188,Sandy,Deep sand, ,"LATR2,PRGL2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
197,Sandy,Deep sand, ,"PRGL2,BOER4, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
198,Sandy,Deep sand, ,"PRGL2,BOER4,SPFL2","shrub,PG,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
200,Sandy,Deep sand, ,"PRGL2,LATR2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
201,Sandy,Deep sand, ,"PRGL2,PLMU3, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
202,Sandy,Deep sand, ,"PRGL2,PLMU3,SCBR2","shrub,PG,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
203,Sandy,Deep sand, ,"PRGL2,PLMU3,SPAI","shrub,PG,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
204,Sandy,Deep sand, ,"PRGL2,SCBR2, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
205,Sandy,Deep sand, ,"PRGL2,SCBR2,PLMU3","shrub,PG,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
206,Sandy,Deep sand, ,"PRGL2,SPFL2, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
212,Sandy,Deep sand, ,"PRGL2, , ",shrub,Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
213,Sandy,Deep sand, ,"PRGL2,ARPU9, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
215,Sandy,Deep sand, ,"PRGL2,ATCA2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
216,Sandy,Deep sand, ,"PRGL2,ATCA2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
223,Sandy,Deep sand, ,"PRGL2,FLCE,ATCA2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
226,Sandy,Deep sand, ,"PRGL2,LATR2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
227,Sandy,Deep sand, ,"PRGL2,LATR2,FLCE","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
228,Sandy,Deep sand, ,"PRGL2,PSSC6, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
229,Sandy,Deep sand, ,"PRGL2,SCBR2,PLMU3","shrub,PG,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
230,Sandy,Deep sand, ,"PRGL2,SPFL2, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
235,Sandy,Deep sand, ,"PRGL2, , ",shrub,Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
236,Sandy,Deep sand, ,"PRGL2,ATCA2, ","shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
238,Sandy,Deep sand, ,"PSSC6,PRGL2,ARFI2","shrub,shrub,shrub",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
263,Sandy,Deep sand,Shallow sandy,"PRGL2,BOER4, ","shrub,PG",Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
271,Sandy,Deep sand,Shallow sandy,"PRGL2, , ",shrub,Shrubland,6,1,6,Shrubland,PRGL2,Sandy,R042XB012NM
