OBJECTID1928,ecosite1,ecosite2,ecosite3,VegUnite,GeneralizedStateNum,SiteName,FG1928,SP1915,matches
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,SPFL2",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,DAPU7",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,MUPO2",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,NA",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,PF",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,YUEL",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPORO,NA",0,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,BOER4",1,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,BOER4,DAPU7",1,Shallow sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,BOER4",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,NA,NA",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,MUPO2",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,NA",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPORO,NA",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,PSSC6,MUPO2",2,Deep sand,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,ARPU9,NA",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,GUSA2,NA",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,GUSA2",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,SPFL2",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,MUPO2,YUEL",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,DAPU7",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,PF",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,SELE6",2,Sandy,shrub,PRGL2,1
24,Deep sand,Sandy,Shallow sandy,"PRGL2,SPFL2,YUEL",2,Sandy,shrub,PRGL2,1
