FID,Shape,OBJECTID,FID_Jornad,ecosite1,ecosite2,ecosite3,SUM_Shape_,FID_JERVeg,DOM1,DOM2,DOM3,SUM_Shape1,Shape_Leng,Shape_Area
123,Polygon,124,13,Gravelly,Loamy, ,25616949.89,43,LATR,FLCE,PLMU,43342492.31,8058.4053,114720.8215
124,Polygon,125,13,Gravelly,Loamy, ,25616949.89,48,LATR,MUPO,PRGL,1829154.863,7450.053177,1555559.889
125,Polygon,126,13,Gravelly,Loamy, ,25616949.89,50,LATR,PLMU,SCBR,629345.0185,1453.286734,6994.592117
126,Polygon,127,13,Gravelly,Loamy, ,25616949.89,51,LATR,PRGL,COWA,23182.94504,1111.778534,23182.94504
127,Polygon,128,13,Gravelly,Loamy, ,25616949.89,52,LATR,PRGL,FLCE,47405692.14,63037.0858,10991577.5
128,Polygon,129,13,Gravelly,Loamy, ,25616949.89,55,LATR,SCBR, ,965816.2125,1464.523314,119244.8327
129,Polygon,130,13,Gravelly,Loamy, ,25616949.89,67,PLMU,SCBR,PRGL,1165251.326,3127.246209,92300.38117
130,Polygon,131,14,Gravelly,No ecosite, ,3691543.348,43,LATR,FLCE,PLMU,43342492.31,1582.623099,6575.297556
131,Polygon,132,14,Gravelly,No ecosite, ,3691543.348,52,LATR,PRGL,FLCE,47405692.14,2460.122103,109905.0338
132,Polygon,133,15,Gravelly,Shallow sandy, ,145211.3922,42,LATR,FLCE,MUPO,4064330.818,6007.056021,80146.30865
133,Polygon,134,15,Gravelly,Shallow sandy, ,145211.3922,43,LATR,FLCE,PLMU,43342492.31,701.271577,8670.769295
134,Polygon,135,16,Gravelly,Shallow sandy, ,10817908.26,21,FLCE,LATR,LYBE,606360.9239,305.402898,4911.035926
135,Polygon,136,16,Gravelly,Shallow sandy, ,10817908.26,22,FLCE,LATR,PLMU,2217269.929,2841.189248,49837.54962
136,Polygon,137,16,Gravelly,Shallow sandy, ,10817908.26,42,LATR,FLCE,MUPO,4064330.818,13918.27448,3345747.775
137,Polygon,138,16,Gravelly,Shallow sandy, ,10817908.26,43,LATR,FLCE,PLMU,43342492.31,1210.689207,18193.75899
