"FID","Shape..","OBJECTID","FID_JERVeg","VegUnite","ZST_DOM","ZND_DOM","ZRD_DOM","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"43","Polygon","44","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","1","Bottomland","35299777.56","123229.1837","15073150.88","shrub,shrub,shrub","shrub","shrub","shrub"
"44","Polygon","45","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","3","Deep sand","119701060","77507.06291","16567526.54","shrub,shrub,shrub","shrub","shrub","shrub"
"45","Polygon","46","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","4","Draw","6092080.685","6803.341759","205846.2222","shrub,shrub,shrub","shrub","shrub","shrub"
"46","Polygon","47","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","5","Gravelly","53527326.23","25093.15175","1814554.575","shrub,shrub,shrub","shrub","shrub","shrub"
"47","Polygon","48","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","7","Limestone hills","125520706.8","8807.674625","1223702.994","shrub,shrub,shrub","shrub","shrub","shrub"
"48","Polygon","49","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","8","Loamy","15362815.09","52182.27807","4070928.822","shrub,shrub,shrub","shrub","shrub","shrub"
"49","Polygon","50","24","FLCE,LATR2,PRGL2","FLCE","LATR2","PRGL2","74250594.14","11","Sandy","368111095.6","113855.4093","35291547.44","shrub,shrub,shrub","shrub","shrub","shrub"
"50","Polygon","51","25","FLCE,LATR2,SCBR2","FLCE","LATR2","SCBR2","1860310.575","3","Deep sand","119701060","6562.564051","769642.5658","shrub,shrub,PG","shrub","shrub","PG"
"51","Polygon","52","25","FLCE,LATR2,SCBR2","FLCE","LATR2","SCBR2","1860310.575","11","Sandy","368111095.6","7238.545458","1090668.009","shrub,shrub,PG","shrub","shrub","PG"
"52","Polygon","53","26","FLCE,LATR2,SPORO","FLCE","LATR2","SPORO","27755687.31","4","Draw","6092080.685","5526.765664","151870.5168","shrub,shrub,PG","shrub","shrub","PG"
"53","Polygon","54","26","FLCE,LATR2,SPORO","FLCE","LATR2","SPORO","27755687.31","5","Gravelly","53527326.23","24112.2192","2347218.889","shrub,shrub,PG","shrub","shrub","PG"
"54","Polygon","55","26","FLCE,LATR2,SPORO","FLCE","LATR2","SPORO","27755687.31","11","Sandy","368111095.6","54059.51501","24539993.85","shrub,shrub,PG","shrub","shrub","PG"
"55","Polygon","56","27","FLCE,PRGL2,SCBR2","FLCE","PRGL2","SCBR2","3019747.967","1","Bottomland","35299777.56","663.184068","17560.9365","shrub,shrub,PG","shrub","shrub","PG"
"56","Polygon","57","27","FLCE,PRGL2,SCBR2","FLCE","PRGL2","SCBR2","3019747.967","3","Deep sand","119701060","9769.076766","1222689.373","shrub,shrub,PG","shrub","shrub","PG"
"57","Polygon","58","27","FLCE,PRGL2,SCBR2","FLCE","PRGL2","SCBR2","3019747.967","11","Sandy","368111095.6","9625.887331","1779497.657","shrub,shrub,PG","shrub","shrub","PG"
"58","Polygon","59","28","FLCE,SCBR2,BOER4","FLCE","SCBR2","BOER4","13714810.36","2","Clayey","13244532.45","15484.35312","4117839.357","shrub,PG,PG","shrub","PG","PG"
"59","Polygon","60","28","FLCE,SCBR2,BOER4","FLCE","SCBR2","BOER4","13714810.36","5","Gravelly","53527326.23","10655.80093","1860068.064","shrub,PG,PG","shrub","PG","PG"
"60","Polygon","61","28","FLCE,SCBR2,BOER4","FLCE","SCBR2","BOER4","13714810.36","11","Sandy","368111095.6","27713.95014","7721387.554","shrub,PG,PG","shrub","PG","PG"
"61","Polygon","62","29","FLCE,SCBR2,PLMU3","FLCE","SCBR2","PLMU3","1125246.968","1","Bottomland","35299777.56","4580.18485","318217.4187","shrub,PG,PG","shrub","PG","PG"
"62","Polygon","63","29","FLCE,SCBR2,PLMU3","FLCE","SCBR2","PLMU3","1125246.968","11","Sandy","368111095.6","9341.558588","807029.5484","shrub,PG,PG","shrub","PG","PG"
"63","Polygon","64","30","FLCE,SCBR2,SPAI","FLCE","SCBR2","SPAI","368122.4209","11","Sandy","368111095.6","2387.929542","368122.4209","shrub,PG,PG","shrub","PG","PG"
"64","Polygon","65","31","GUSA2,BOER4,ARIST","GUSA2","BOER4","ARIST","2096500.045","11","Sandy","368111095.6","13834.66397","2096500.045","subshrub,PG,PG","subshrub","PG","PG"
"65","Polygon","66","32","GUSA2,BOER4,PRGL2","GUSA2","BOER4","PRGL2","4473077.676","11","Sandy","368111095.6","24862.47881","4440827.829","subshrub,PG,shrub","subshrub","PG","shrub"
"66","Polygon","67","32","GUSA2,BOER4,PRGL2","GUSA2","BOER4","PRGL2","4473077.676","13","Shallow sandy","25426676.89","855.52268","32249.84852","subshrub,PG,shrub","subshrub","PG","shrub"
"67","Polygon","68","33","GUSA2,PLMU3,ARIST","GUSA2","PLMU3","ARIST","465851.4336","11","Sandy","368111095.6","3788.525296","465851.4336","subshrub,PG,PG","subshrub","PG","PG"
"68","Polygon","69","34","GUSA2,PLMU3,SCBR2","GUSA2","PLMU3","SCBR2","2029427.177","11","Sandy","368111095.6","12968.22098","2022921.257","subshrub,PG,PG","subshrub","PG","PG"
"69","Polygon","70","34","GUSA2,PLMU3,SCBR2","GUSA2","PLMU3","SCBR2","2029427.177","13","Shallow sandy","25426676.89","396.174126","6505.920089","subshrub,PG,PG","subshrub","PG","PG"
"70","Polygon","71","35","GUSA2,PRGL2,","GUSA2","PRGL2","","11579984.25","3","Deep sand","119701060","22663.31387","6738772.888","subshrub,shrub","subshrub","shrub",NA
"71","Polygon","72","35","GUSA2,PRGL2,","GUSA2","PRGL2","","11579984.25","11","Sandy","368111095.6","34725.34664","4841211.367","subshrub,shrub","subshrub","shrub",NA
"72","Polygon","73","36","GUSA2,PRGL2,ARIST","GUSA2","PRGL2","ARIST","1334183.744","3","Deep sand","119701060","781.422197","24586.82895","subshrub,shrub,PG","subshrub","shrub","PG"
"73","Polygon","74","36","GUSA2,PRGL2,ARIST","GUSA2","PRGL2","ARIST","1334183.744","11","Sandy","368111095.6","8729.909955","821311.132","subshrub,shrub,PG","subshrub","shrub","PG"
"74","Polygon","75","36","GUSA2,PRGL2,ARIST","GUSA2","PRGL2","ARIST","1334183.744","13","Shallow sandy","25426676.89","5426.061113","487078.383","subshrub,shrub,PG","subshrub","shrub","PG"
"75","Polygon","76","37","GUSA2,PRGL2,BOER4","GUSA2","PRGL2","BOER4","3748435.182","3","Deep sand","119701060","4430.075669","505609.7168","subshrub,shrub,PG","subshrub","shrub","PG"
"76","Polygon","77","37","GUSA2,PRGL2,BOER4","GUSA2","PRGL2","BOER4","3748435.182","7","Limestone hills","125520706.8","1188.399233","47994.91033","subshrub,shrub,PG","subshrub","shrub","PG"
"77","Polygon","78","37","GUSA2,PRGL2,BOER4","GUSA2","PRGL2","BOER4","3748435.182","11","Sandy","368111095.6","18171.05621","3194830.554","subshrub,shrub,PG","subshrub","shrub","PG"
"78","Polygon","79","38","GUSA2,PRGL2,PSSC6","GUSA2","PRGL2","PSSC6","7463668.02","2","Clayey","13244532.45","391.739326","6629.310459","subshrub,shrub,shrub","subshrub","shrub","shrub"
"79","Polygon","80","38","GUSA2,PRGL2,PSSC6","GUSA2","PRGL2","PSSC6","7463668.02","3","Deep sand","119701060","10342.90304","2518102.229","subshrub,shrub,shrub","subshrub","shrub","shrub"
"80","Polygon","81","38","GUSA2,PRGL2,PSSC6","GUSA2","PRGL2","PSSC6","7463668.02","11","Sandy","368111095.6","22658.43615","4938936.481","subshrub,shrub,shrub","subshrub","shrub","shrub"
"81","Polygon","82","39","GUSA2,PRGL2,SCBR2","GUSA2","PRGL2","SCBR2","519059.7181","11","Sandy","368111095.6","4635.467071","519059.7181","subshrub,shrub,PG","subshrub","shrub","PG"
"82","Polygon","83","40","GUSA2,PRGL2,SPORO","GUSA2","PRGL2","SPORO","445552.8774","11","Sandy","368111095.6","3206.750074","445552.8774","subshrub,shrub,PG","subshrub","shrub","PG"
"83","Polygon","84","41","GUSA2,YUEL,","GUSA2","YUEL","","1526831.992","11","Sandy","368111095.6","6288.300067","1526831.992","subshrub,succulent","subshrub","succulent",NA
"84","Polygon","85","42","HIMU,SCBR2,","HIMU","SCBR2","","868768.2826","2","Clayey","13244532.45","3858.099725","638008.9643","PG,PG","PG","PG",NA
"85","Polygon","86","42","HIMU,SCBR2,","HIMU","SCBR2","","868768.2826","11","Sandy","368111095.6","2900.561903","229934.6338","PG,PG","PG","PG",NA
"86","Polygon","87","43","HOFF spp.,Bare,","HOFF spp.","Bare","","596936.4658","2","Clayey","13244532.45","4200.581447","572573.6392","forb,Bare","forb","Bare",NA
